elementName,table,variableName,defaultValue,inputSources,labInputs,processingFunction
MeS,SiteMeasure,siteMeasureID,,lab sheet,location;A;__const__wwTSS:str,create_site_measure_id
MeS,SiteMeasure,siteID,,lab sheet,location,
MeS,SiteMeasure,instrumentID,,,,
MeS,SiteMeasure,sampleID,,,,
MeS,SiteMeasure,reporterID,,lab sheet,__labID__,
MeS,SiteMeasure,dateTime,,lab sheet,A,parse_date
MeS,SiteMeasure,type,wwTSS,lab sheet,,
MeS,SiteMeasure,aggregation,single,,,
MeS,SiteMeasure,aggregationDesc,,,,
MeS,SiteMeasure,value,,lab sheet,H,
MeS,SiteMeasure,unit,mgl,lab sheet,,
MeS,SiteMeasure,accessToPublic,TRUE,,,
MeS,SiteMeasure,accessToAllOrg,TRUE,,,
MeS,SiteMeasure,accessToPHAC,TRUE,,,
MeS,SiteMeasure,accessToLocalHA,TRUE,,,
MeS,SiteMeasure,accessToProvHA,TRUE,,,
MeS,SiteMeasure,accessToOtherProv,TRUE,,,
MeS,SiteMeasure,accessToDetails,TRUE,,,
MeS,SiteMeasure,notes,,lab sheet,,
MVeS,SiteMeasure,siteMeasureID,,lab sheet,location;A;__const__wwVSS:str,create_site_measure_id
MVeS,SiteMeasure,siteID,,lab sheet,location,
MVeS,SiteMeasure,instrumentID,,,,
MVeS,SiteMeasure,sampleID,,,,
MVeS,SiteMeasure,reporterID,,lab sheet,__labID__,
MVeS,SiteMeasure,dateTime,,lab sheet,A,parse_date
MVeS,SiteMeasure,type,wwVSS,lab sheet,,
MVeS,SiteMeasure,aggregation,single,,,
MVeS,SiteMeasure,aggregationDesc,,,,
MVeS,SiteMeasure,value,,lab sheet,I,
MVeS,SiteMeasure,unit,mgl,lab sheet,,
MVeS,SiteMeasure,accessToPublic,TRUE,,,
MVeS,SiteMeasure,accessToAllOrg,TRUE,,,
MVeS,SiteMeasure,accessToPHAC,TRUE,,,
MVeS,SiteMeasure,accessToLocalHA,TRUE,,,
MVeS,SiteMeasure,accessToProvHA,TRUE,,,
MVeS,SiteMeasure,accessToOtherProv,TRUE,,,
MVeS,SiteMeasure,accessToDetails,TRUE,,,
MVeS,SiteMeasure,notes,,lab sheet,,
Ptot,SiteMeasure,siteMeasureID,,lab sheet,location;A;__const__wwPtot:str,create_site_measure_id
Ptot,SiteMeasure,siteID,,lab sheet,location,
Ptot,SiteMeasure,instrumentID,,,,
Ptot,SiteMeasure,sampleID,,,,
Ptot,SiteMeasure,reporterID,,lab sheet,__labID__,
Ptot,SiteMeasure,dateTime,,lab sheet,A,parse_date
Ptot,SiteMeasure,type,wwPtot,lab sheet,,
Ptot,SiteMeasure,aggregation,single,,,
Ptot,SiteMeasure,aggregationDesc,,,,
Ptot,SiteMeasure,value,,lab sheet,J,
Ptot,SiteMeasure,unit,mgl,lab sheet,,
Ptot,SiteMeasure,accessToPublic,TRUE,,,
Ptot,SiteMeasure,accessToAllOrg,TRUE,,,
Ptot,SiteMeasure,accessToPHAC,TRUE,,,
Ptot,SiteMeasure,accessToLocalHA,TRUE,,,
Ptot,SiteMeasure,accessToProvHA,TRUE,,,
Ptot,SiteMeasure,accessToOtherProv,TRUE,,,
Ptot,SiteMeasure,accessToDetails,TRUE,,,
Ptot,SiteMeasure,notes,,lab sheet,,
Alk,SiteMeasure,siteMeasureID,,lab sheet,location;A;__const__wwAlk:str,create_site_measure_id
Alk,SiteMeasure,siteID,,lab sheet,location,
Alk,SiteMeasure,instrumentID,,,,
Alk,SiteMeasure,sampleID,,,,
Alk,SiteMeasure,reporterID,,lab sheet,__labID__,
Alk,SiteMeasure,dateTime,,lab sheet,A,parse_date
Alk,SiteMeasure,type,wwAlk,lab sheet,,
Alk,SiteMeasure,aggregation,single,,,
Alk,SiteMeasure,aggregationDesc,,,,
Alk,SiteMeasure,value,,lab sheet,K,
Alk,SiteMeasure,unit,mgCaCO3,lab sheet,,
Alk,SiteMeasure,accessToPublic,TRUE,,,
Alk,SiteMeasure,accessToAllOrg,TRUE,,,
Alk,SiteMeasure,accessToPHAC,TRUE,,,
Alk,SiteMeasure,accessToLocalHA,TRUE,,,
Alk,SiteMeasure,accessToProvHA,TRUE,,,
Alk,SiteMeasure,accessToOtherProv,TRUE,,,
Alk,SiteMeasure,accessToDetails,TRUE,,,
Alk,SiteMeasure,notes,,lab sheet,,
Turbidity,SiteMeasure,siteMeasureID,,lab sheet,location;A;__const__wwTurb:str,create_site_measure_id
Turbidity,SiteMeasure,siteID,,lab sheet,location,
Turbidity,SiteMeasure,instrumentID,,,,
Turbidity,SiteMeasure,sampleID,,,,
Turbidity,SiteMeasure,reporterID,,lab sheet,__labID__,
Turbidity,SiteMeasure,dateTime,,lab sheet,A,parse_date
Turbidity,SiteMeasure,type,wwTurb,lab sheet,,
Turbidity,SiteMeasure,aggregation,single,,,
Turbidity,SiteMeasure,aggregationDesc,,,,
Turbidity,SiteMeasure,value,,lab sheet,L,
Turbidity,SiteMeasure,unit,ntu,lab sheet,,
Turbidity,SiteMeasure,accessToPublic,TRUE,,,
Turbidity,SiteMeasure,accessToAllOrg,TRUE,,,
Turbidity,SiteMeasure,accessToPHAC,TRUE,,,
Turbidity,SiteMeasure,accessToLocalHA,TRUE,,,
Turbidity,SiteMeasure,accessToProvHA,TRUE,,,
Turbidity,SiteMeasure,accessToOtherProv,TRUE,,,
Turbidity,SiteMeasure,accessToDetails,TRUE,,,
Turbidity,SiteMeasure,notes,,lab sheet,,
NH4,SiteMeasure,siteMeasureID,,lab sheet,location;A;__const__wwNH4N:str,create_site_measure_id
NH4,SiteMeasure,siteID,,lab sheet,location,
NH4,SiteMeasure,instrumentID,,,,
NH4,SiteMeasure,sampleID,,,,
NH4,SiteMeasure,reporterID,,lab sheet,__labID__,
NH4,SiteMeasure,dateTime,,lab sheet,A,parse_date
NH4,SiteMeasure,type,wwNH4N,lab sheet,,
NH4,SiteMeasure,aggregation,single,,,
NH4,SiteMeasure,aggregationDesc,,,,
NH4,SiteMeasure,value,,lab sheet,M,
NH4,SiteMeasure,unit,mgl,lab sheet,,
NH4,SiteMeasure,accessToPublic,TRUE,,,
NH4,SiteMeasure,accessToAllOrg,TRUE,,,
NH4,SiteMeasure,accessToPHAC,TRUE,,,
NH4,SiteMeasure,accessToLocalHA,TRUE,,,
NH4,SiteMeasure,accessToProvHA,TRUE,,,
NH4,SiteMeasure,accessToOtherProv,TRUE,,,
NH4,SiteMeasure,accessToDetails,TRUE,,,
NH4,SiteMeasure,notes,,lab sheet,,
TKN,SiteMeasure,siteMeasureID,,lab sheet,location;A;__const__wwTKN:str,create_site_measure_id
TKN,SiteMeasure,siteID,,lab sheet,location,
TKN,SiteMeasure,instrumentID,,,,
TKN,SiteMeasure,sampleID,,,,
TKN,SiteMeasure,reporterID,,lab sheet,__labID__,
TKN,SiteMeasure,dateTime,,lab sheet,A,parse_date
TKN,SiteMeasure,type,wwTKN,lab sheet,,
TKN,SiteMeasure,aggregation,single,,,
TKN,SiteMeasure,aggregationDesc,,,,
TKN,SiteMeasure,value,,lab sheet,N,
TKN,SiteMeasure,unit,mgl,lab sheet,,
TKN,SiteMeasure,accessToPublic,TRUE,,,
TKN,SiteMeasure,accessToAllOrg,TRUE,,,
TKN,SiteMeasure,accessToPHAC,TRUE,,,
TKN,SiteMeasure,accessToLocalHA,TRUE,,,
TKN,SiteMeasure,accessToProvHA,TRUE,,,
TKN,SiteMeasure,accessToOtherProv,TRUE,,,
TKN,SiteMeasure,accessToDetails,TRUE,,,
TKN,SiteMeasure,notes,,lab sheet,,
Conductivity,SiteMeasure,siteMeasureID,,lab sheet,location;A;__const__wwCond:str,create_site_measure_id
Conductivity,SiteMeasure,siteID,,lab sheet,location,
Conductivity,SiteMeasure,instrumentID,,,,
Conductivity,SiteMeasure,sampleID,,,,
Conductivity,SiteMeasure,reporterID,,lab sheet,__labID__,
Conductivity,SiteMeasure,dateTime,,lab sheet,A,parse_date
Conductivity,SiteMeasure,type,wwCond,lab sheet,,
Conductivity,SiteMeasure,aggregation,single,,,
Conductivity,SiteMeasure,aggregationDesc,,,,
Conductivity,SiteMeasure,value,,lab sheet,O,
Conductivity,SiteMeasure,unit,usCM,lab sheet,,
Conductivity,SiteMeasure,accessToPublic,TRUE,,,
Conductivity,SiteMeasure,accessToAllOrg,TRUE,,,
Conductivity,SiteMeasure,accessToPHAC,TRUE,,,
Conductivity,SiteMeasure,accessToLocalHA,TRUE,,,
Conductivity,SiteMeasure,accessToProvHA,TRUE,,,
Conductivity,SiteMeasure,accessToOtherProv,TRUE,,,
Conductivity,SiteMeasure,accessToDetails,TRUE,,,
Conductivity,SiteMeasure,notes,,lab sheet,,
