elementName,table,variableName,defaultValue,inputSources,labInputs,processingFunction
CharlesbourgFlow,SiteMeasure,aggregation,single,,,
CharlesbourgFlow,SiteMeasure,aggregationDesc,,,,
CharlesbourgFlow,SiteMeasure,value,,lab sheet,G;I;N,charlesbourg_flow
CharlesbourgFlow,SiteMeasure,unit,m3h,,,
CharlesbourgFlow,SiteMeasure,accessToPublic,FALSE,,,
CharlesbourgFlow,SiteMeasure,accessToAllOrg,FALSE,,,
CharlesbourgFlow,SiteMeasure,accessToPHAC,FALSE,,,
CharlesbourgFlow,SiteMeasure,accessToLocalHA,FALSE,,,
CharlesbourgFlow,SiteMeasure,accessToProvHA,FALSE,,,
CharlesbourgFlow,SiteMeasure,accessToOtherProv,FALSE,,,
CharlesbourgFlow,SiteMeasure,accessToDetails,FALSE,,,
CharlesbourgFlow,SiteMeasure,notes,,,,
Limoilou Nord,SiteMeasure,siteMeasureID,,lab sheet,__const__QC_10:str;C;__const__wwFlow:str,get_qc_sensor_site_measure_id
Limoilou Nord,SiteMeasure,siteID,QC_10,,,
Limoilou Nord,SiteMeasure,instrumentID,QUETPTE.STEST.EBFI101,,,
Limoilou Nord,SiteMeasure,sampleID,,,,
Limoilou Nord,SiteMeasure,reporterID,CityQc,,,
Limoilou Nord,SiteMeasure,dateTime,,lab sheet,C,get_date
Limoilou Nord,SiteMeasure,type,wwFlow,lab sheet,,
Limoilou Nord,SiteMeasure,aggregation,single,,,
Limoilou Nord,SiteMeasure,aggregationDesc,,,,
Limoilou Nord,SiteMeasure,value,,lab sheet,J,limoilou_n_flow
Limoilou Nord,SiteMeasure,unit,m3h,,,
Limoilou Nord,SiteMeasure,accessToPublic,FALSE,,,
Limoilou Nord,SiteMeasure,accessToAllOrg,FALSE,,,
Limoilou Nord,SiteMeasure,accessToPHAC,FALSE,,,
Limoilou Nord,SiteMeasure,accessToLocalHA,FALSE,,,
Limoilou Nord,SiteMeasure,accessToProvHA,FALSE,,,
Limoilou Nord,SiteMeasure,accessToOtherProv,FALSE,,,
Limoilou Nord,SiteMeasure,accessToDetails,FALSE,,,
Limoilou Nord,SiteMeasure,notes,This is an approximation of this sector's contribution based on a 1/3 - 2/3 split of the total weir flow,,,
Limoilou Sud,SiteMeasure,siteMeasureID,,lab sheet,__const__QC_11:str;C;__const__wwFlow:str,get_qc_sensor_site_measure_id
Limoilou Sud,SiteMeasure,siteID,QC_11,,,
Limoilou Sud,SiteMeasure,instrumentID,QUETPTE.STEST.EBFI101,,,
Limoilou Sud,SiteMeasure,sampleID,,,,
Limoilou Sud,SiteMeasure,reporterID,CityQc,,,
Limoilou Sud,SiteMeasure,dateTime,,lab sheet,C,get_date
Limoilou Sud,SiteMeasure,type,wwFlow,lab sheet,,
Limoilou Sud,SiteMeasure,aggregation,single,,,
Limoilou Sud,SiteMeasure,aggregationDesc,,,,
Limoilou Sud,SiteMeasure,value,,lab sheet,J,limoilou_s_flow
Limoilou Sud,SiteMeasure,unit,m3h,,,
Limoilou Sud,SiteMeasure,accessToPublic,FALSE,,,
Limoilou Sud,SiteMeasure,accessToAllOrg,FALSE,,,
Limoilou Sud,SiteMeasure,accessToPHAC,FALSE,,,
