elementName,table,variableName,defaultValue,inputSources,labInputs,processingFunction
BOD5,SiteMeasure,notes,,lab sheet,K,
TSS,SiteMeasure,siteMeasureID,,lab sheet,location;A;__const__wwTSS:str,get_qc_lab_site_measure_id
TSS,SiteMeasure,siteID,,lab sheet,location,
TSS,SiteMeasure,instrumentID,,,,
TSS,SiteMeasure,sampleID,,,,
TSS,SiteMeasure,reporterID,CityQc,,,
TSS,SiteMeasure,dateTime,,lab sheet,A,get_date
TSS,SiteMeasure,type,wwTSS,lab sheet,,
TSS,SiteMeasure,aggregation,single,,,
TSS,SiteMeasure,aggregationDesc,,,,
TSS,SiteMeasure,value,,lab sheet,H,
TSS,SiteMeasure,unit,mgl,lab sheet,,
TSS,SiteMeasure,accessToPublic,FALSE,,,
TSS,SiteMeasure,accessToAllOrg,FALSE,,,
TSS,SiteMeasure,accessToPHAC,FALSE,,,
TSS,SiteMeasure,accessToLocalHA,FALSE,,,
TSS,SiteMeasure,accessToProvHA,FALSE,,,
TSS,SiteMeasure,accessToOtherProv,FALSE,,,
TSS,SiteMeasure,accessToDetails,FALSE,,,
TSS,SiteMeasure,notes,,lab sheet,K,
Ptot,SiteMeasure,siteMeasureID,,lab sheet,location;A;__const__wwPtot:str,get_qc_lab_site_measure_id
Ptot,SiteMeasure,siteID,,lab sheet,location,
Ptot,SiteMeasure,instrumentID,,,,
Ptot,SiteMeasure,sampleID,,,,
Ptot,SiteMeasure,reporterID,CityQc,,,
Ptot,SiteMeasure,dateTime,,lab sheet,A,get_date
Ptot,SiteMeasure,type,wwPtot,lab sheet,,
Ptot,SiteMeasure,aggregation,single,,,
Ptot,SiteMeasure,aggregationDesc,,,,
Ptot,SiteMeasure,value,,lab sheet,I,
Ptot,SiteMeasure,unit,mgl,lab sheet,,
Ptot,SiteMeasure,accessToPublic,FALSE,,,
Ptot,SiteMeasure,accessToAllOrg,FALSE,,,
Ptot,SiteMeasure,accessToPHAC,FALSE,,,
Ptot,SiteMeasure,accessToLocalHA,FALSE,,,
Ptot,SiteMeasure,accessToProvHA,FALSE,,,
Ptot,SiteMeasure,accessToOtherProv,FALSE,,,
Ptot,SiteMeasure,accessToDetails,FALSE,,,
Ptot,SiteMeasure,notes,,lab sheet,K,
NH4,SiteMeasure,siteMeasureID,,lab sheet,location;A;__const__wwNH4N:str,get_qc_lab_site_measure_id
NH4,SiteMeasure,siteID,,lab sheet,location,
NH4,SiteMeasure,instrumentID,,,,
NH4,SiteMeasure,sampleID,,,,
NH4,SiteMeasure,reporterID,CityQc,,,
NH4,SiteMeasure,dateTime,,lab sheet,A,get_date
NH4,SiteMeasure,type,wwNH4N,lab sheet,,
NH4,SiteMeasure,aggregation,single,,,
NH4,SiteMeasure,aggregationDesc,,,,
NH4,SiteMeasure,value,,lab sheet,J,
NH4,SiteMeasure,unit,mgl,lab sheet,,
NH4,SiteMeasure,accessToPublic,FALSE,,,
NH4,SiteMeasure,accessToAllOrg,FALSE,,,
NH4,SiteMeasure,accessToPHAC,FALSE,,,
NH4,SiteMeasure,accessToLocalHA,FALSE,,,
NH4,SiteMeasure,accessToProvHA,FALSE,,,
NH4,SiteMeasure,accessToOtherProv,FALSE,,,
NH4,SiteMeasure,accessToDetails,FALSE,,,
NH4,SiteMeasure,notes,,lab sheet,K,
