siteMeasureID,siteID,instrumentID,sampleID,reporterID,dateTime,type,aggregation,aggregationDesc,value,unit,accessToPublic,accessToAllOrg,accessToPHAC,accessToLocalHA,accessToProvHA,accessToOtherProv,accessToDetails,notes
quebec_ouest_wwtp_envrnf_2020-07-15,quebec_ouest_wwtp,pluvio_villedequebec,,nielsnicolai,2020-07-15,envrnf,single,cumulative rainfall in one day.,0.0,mm,True,yes,True,True,True,True,True,normales
quebec_ouest_wwtp_envrnf_2020-07-16,quebec_ouest_wwtp,pluvio_villedequebec,,nielsnicolai,2020-07-16,envrnf,single,cumulative rainfall in one day.,0.0,mm,True,yes,True,True,True,True,True,normales
quebec_ouest_wwtp_envrnf_2020-07-17,quebec_ouest_wwtp,pluvio_villedequebec,,nielsnicolai,2020-07-17,envrnf,single,cumulative rainfall in one day.,31.3,mm,True,yes,True,True,True,True,True,normales
quebec_ouest_wwtp_envrnf_2020-07-18,quebec_ouest_wwtp,pluvio_villedequebec,,nielsnicolai,2020-07-18,envrnf,single,cumulative rainfall in one day.,1.1,mm,True,yes,True,True,True,True,True,normales
quebec_ouest_wwtp_envrnf_2020-07-19,quebec_ouest_wwtp,pluvio_villedequebec,,nielsnicolai,2020-07-19,envrnf,single,cumulative rainfall in one day.,14.8,mm,True,yes,True,True,True,True,True,normales
quebec_ouest_wwtp_envrnf_2020-07-20,quebec_ouest_wwtp,pluvio_villedequebec,,nielsnicolai,2020-07-20,envrnf,single,cumulative rainfall in one day.,1.2,mm,True,yes,True,True,True,True,True,normales
quebec_ouest_wwtp_envrnf_2020-07-21,quebec_ouest_wwtp,pluvio_villedequebec,,nielsnicolai,2020-07-21,envrnf,single,cumulative rainfall in one day.,0.0,mm,True,yes,True,True,True,True,True,normales
quebec_ouest_wwtp_envrnf_2020-07-22,quebec_ouest_wwtp,pluvio_villedequebec,,nielsnicolai,2020-07-22,envrnf,single,cumulative rainfall in one day.,4.3,mm,True,yes,True,True,True,True,True,normales
quebec_ouest_wwtp_envrnf_2020-07-23,quebec_ouest_wwtp,pluvio_villedequebec,,nielsnicolai,2020-07-23,envrnf,single,cumulative rainfall in one day.,7.6,mm,True,yes,True,True,True,True,True,normales
quebec_ouest_wwtp_envrnf_2020-07-24,quebec_ouest_wwtp,pluvio_villedequebec,,nielsnicolai,2020-07-24,envrnf,single,cumulative rainfall in one day.,0.1,mm,True,yes,True,True,True,True,True,normales
quebec_ouest_wwtp_envrnf_2020-07-25,quebec_ouest_wwtp,pluvio_villedequebec,,nielsnicolai,2020-07-25,envrnf,single,cumulative rainfall in one day.,0.1,mm,True,yes,True,True,True,True,True,normales
quebec_ouest_wwtp_envrnf_2020-07-26,quebec_ouest_wwtp,pluvio_villedequebec,,nielsnicolai,2020-07-26,envrnf,single,cumulative rainfall in one day.,39.5,mm,True,yes,True,True,True,True,True,normales
quebec_ouest_wwtp_envrnf_2020-07-27,quebec_ouest_wwtp,pluvio_villedequebec,,nielsnicolai,2020-07-27,envrnf,single,cumulative rainfall in one day.,0.5,mm,True,yes,True,True,True,True,True,normales
quebec_ouest_wwtp_envrnf_2020-07-28,quebec_ouest_wwtp,pluvio_villedequebec,,nielsnicolai,2020-07-28,envrnf,single,cumulative rainfall in one day.,19.5,mm,True,yes,True,True,True,True,True,normales
quebec_ouest_wwtp_envrnf_2020-07-29,quebec_ouest_wwtp,pluvio_villedequebec,,nielsnicolai,2020-07-29,envrnf,single,cumulative rainfall in one day.,6.5,mm,True,yes,True,True,True,True,True,normales
quebec_ouest_wwtp_envrnf_2020-07-30,quebec_ouest_wwtp,pluvio_villedequebec,,nielsnicolai,2020-07-30,envrnf,single,cumulative rainfall in one day.,38.6,mm,True,yes,True,True,True,True,True,normales
quebec_ouest_wwtp_envrnf_2020-07-31,quebec_ouest_wwtp,pluvio_villedequebec,,nielsnicolai,2020-07-31,envrnf,single,cumulative rainfall in one day.,2.6,mm,True,yes,True,True,True,True,True,normales
